"Are you sure you want to send order to Bring?","Are you sure you want to send order to Bring?"
"Book shipment","Book shipment"
Add,Add
"Bring Product","Bring Product"
Rule,Rule
Comparison,Comparison
Value,Value
"Less then","Less then"
"Less or equal to","Less or equal to"
"Greater then","Greater then"
"Greater or equal to","Greater or equal to"
"Shipping method","Shipping method"
Country,Country
Price,Price
"Min weight (g)","Min weight (g)"
"Max weight (g)","Max weight (g)"
Title,Title
"Width (cm)","Width (cm)"
"Length (cm)","Length (cm)"
"Height (cm)","Height (cm)"
"Factor attribute","Factor attribute"
"Cart Weight (kg)","Cart Weight (kg)"
"Cart Total","Cart Total"
"Please enter a weight.","Please enter a weight."
"Please enter a length.","Please enter a length."
"Please enter a width.","Please enter a width."
"Please enter a height.","Please enter a height."
"Date format of Shipping Date must be ""YYYY-MM-DD HH:MM"".","Date format of Shipping Date must be ""YYYY-MM-DD HH:MM""."
"Shipping Origin is required. Configure shipping origin under Sales -> Shipping Methods -> Bring -> Bring Booking -> Shipping Origin.","Shipping Origin is required. Configure shipping origin under Sales -> Shipping Methods -> Bring -> Bring Booking -> Shipping Origin."
"We can\'t initialize shipment for adding edi.","We can\'t initialize shipment for adding edi."
"Bring API Error:","Bring API Error:"
"Configuration error:","Configuration error:"
"Cannot book EDI.","Cannot book EDI."
"%1 days","%1 days"
"%1 day","%1 day"
"Recipient notification over SMS or E-Mail","Recipient notification over SMS or E-Mail"
"Cash on Delivery","Cash on Delivery"
"Delivery on Saturdays","Delivery on Saturdays"
"Express Envelope","Express Envelope"
"Bring contacts recipient","Bring contacts recipient"
"Delivery to pickup point","Delivery to pickup point"
"Evening delivery","Evening delivery"
"--Please Select--","--Please Select--"
Servicepakke,"Servicepackage"
"På døren","Home delivery"
"Dør til dør","Door to door"
"Bedriftspakke Ekspress-Over natten 09","Businesspackage Express-Over night 09"
Minipakken,Minipackage
A-Prioritert,A-Post
B-Økonomi,B-Post
"Småpakke A-Post","Minipackage A-Post"
"Småpakke B-Økonomi","Minipackage B-Post"
"Express Nordic Same Day","Express Nordic Same Day"
"Express International 09:00","Express International 09:00"
"Express International 12:00","Express International 12:00"
"Express International","Express International"
"Express Economy","Express Economy"
Cargo,Cargo
"Business Parcel","Business Parcel"
"PickUp Parcel","PickUp Parcel"
"Bud VIP","Bud VIP"
"Bud 1 time","Bud 1 time"
"Bud 2 timer","Bud 2 timer"
"Bud 4 timer","Bud 4 timer"
"Bud 6 timer","Bud 6 timer"
"Oil Express","Oil Express"
"Cannot save edi:\n%1","Cannot save edi:\n%1"
"Weight (kg)","Weight (kg)"
Tracking,Tracking
Label,Label
"Shipping Label (PDF)","Shipping Label (PDF)"
Delete,Delete
"Order Bring Shipment","Order Bring Shipment"
"Shipping Date","Shipping Date"
"Estimate Price","Estimate Price"
"Estimated shipping costs:","Estimated shipping costs:"
"Bring Package Orders","Bring Package Orders"
"Overview for Bring Package orders for this shipment.","Overview for Bring Package orders for this shipment."
Bring,Bring
Enabled,Enabled
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Bring Client URL","Bring Client URL"
"Mybring login ID","Mybring login ID"
"Mybring login API key","Mybring login API key"
"Enabled Bring Products","Enabled Bring Products"
"Bring Product Rules","Bring Product Rules"
"Sort Order","Sort Order"
"Bring Shipping Guide","Bring Shipping Guide"
"Custom Prices","Custom Prices"
"Show estimated delivery time","Show estimated delivery time"
EDI,EDI
"Posting at post office","Posting at post office"
"Additional Services","Additional Services"
"Bring Booking","Bring Booking"
"Activate Bring Booking","Activate Bring Booking"
"Test mode","Test mode"
"Default Customer","Default Customer"
"Standard package size","Standard package size"
"Shipping Origin","Shipping Origin"
Name,Name
"Street Address","Street Address"
"Street Address Line 2","Street Address Line 2"
"ZIP/Postal Code","ZIP/Postal Code"
City,City
Email,Email
"Phone number","Phone number"
"Package Management","Package Management"
"Ship individually (On / off) Attribute","Ship individually (On / off) Attribute"
"Width Attribute (cm)","Width Attribute (cm)"
"Length Attribute (cm)","Length Attribute (cm)"
"Height Attribute (cm)","Height Attribute (cm)"
"Package Configuration","Package Configuration"
"Standard Package Width (cm)","Standard Package Width (cm)"
"Standard Package Length (cm)","Standard Package Length (cm)"
"Standard Package Height (cm)","Standard Package Height (cm)"
