"Are you sure you want to send order to Bring?","Er du sikker på at du ønsker å bestille pakkeseddel fra Bring?"
"Book shipment","Book levering"
Add,Legg til
"Bring Product","Bringprodukt"
Rule,Regel
Comparison,Comparison
Value,Verdi
"Less then","Mindre enn"
"Less or equal to","Mindre eller lik"
"Greater then","Større enn"
"Greater or equal to","Større eller lik"
"Shipping method","Leveringsmetode"
Country,Land
Price,Pris
"Min weight (Gr)","Min vekt (Gr)"
"Max weight (Gr)","Max vekt (Gr)"
Title,Tittel
"Width (cm)","Bredde (cm)"
"Length (cm)","Lengde (cm)"
"Height (cm)","Høyde (cm)"
"Factor attribute","Faktor attributt"
"Cart Weight (kg)","Handlekurv vekt (kg)"
"Cart Total","Handlekurv total"
"Please enter a weight.","Vennligst legg inn vekt."
"Please enter a length.","Vennligst legg inn lengde."
"Please enter a width.","Vennligst legg inn bredde."
"Please enter a height.","Vennligst legg inn høyde."
"Date format of Shipping Date must be ""YYYY-MM-DD HH:SS"".","Dato formatet på leveringsdato må være ""ÅÅÅÅ-MM-DD TT:MM""."
"Shipping Origin is required. Configure sender information under Bring -> Booking.","Avsenderadresse er påkrevd. Konfigurer avsender adresse under Bring -> Booking."
"We can\'t initialize shipment for adding edi.","Vi kan ikke initiere levering for å legge til EDI."
"Bring API Error:","Bring API Error:"
"Configuration error:","Konfigurasjons-error:"
"Cannot book EDI.","Kan ikke booke EDI."
"%1 days","%1 dager"
"%1 day","%1 dag"
"Recipient notification over SMS or E-Mail","Mottakervarsling over SMS eller E-Mail"
"Cash on Delivery","Cash on Delivery"
"Delivery on Saturdays","Levering på lørdager"
"Express Envelope","Express Envelope"
"Bring contacts recipient","Bring kontakter mottaker"
"	Delivery to pickup point","	Levering til pickup point"
"Evening delivery","Evening delivery"
"--Please Select--","--Vennligst velg--"
Servicepakke,Servicepakke
"På døren","På døren"
"Dør til dør","Dør til dør"
"Bedriftspakke Ekspress-Over natten 09","Bedriftspakke Ekspress-Over natten 09"
Minipakken,Minipakken
A-Prioritert,A-Prioritert
B-Økonomi,B-Økonomi
"Småpakke A-Post","Småpakke A-Post"
"Småpakke B-Økonomi","Småpakke B-Økonomi"
"Express Nordic Same Day","Express Nordic Same Day"
"Express International 09:00","Express International 09:00"
"Express International 12:00","Express International 12:00"
"Express International","Express International"
"Express Economy","Express Economy"
Cargo,Cargo
"Business Parcel","Business Parcel"
"PickUp Parcel","PickUp Parcel"
"Bud VIP","Bud VIP"
"Bud 1 time","Bud 1 time"
"Bud 2 timer","Bud 2 timer"
"Bud 4 timer","Bud 4 timer"
"Bud 6 timer","Bud 6 timer"
"Oil Express","Oil Express"
"Cannot save edi:\n%1","Kan ikke lagre EDI:\n%1"
"Weight (kg)","Vekt (kg)"
Tracking,Sporing
Label,Etikett
"Shipping Label (PDF)","Leveringsetikett (PDF)"
Delete,Slett
"Order Bring Shipment","Send pakkeordre til Bring"
"Shipping Date","Leveringsdato"
"Estimate Price","Estimér pris"
"Estimated shipping costs:","Estimerte fraktkostnader:"
"Bring Package Orders","Bring pakkeordrer"
"Overview over Bring Package orders for this shipment.","Oversikt over Bring EDI ordrer for denne leveringen."
Bring,Bring
Enabled,Aktivert
"Calculate Handling Fee","Kalkulér ekspedisjonsgebyr"
"Handling Fee","Ekspedisjonsgebyr"
"Bring Client URL","Bring Klient URL"
"Mybring login ID","Mybring login ID"
"Mybring login API key","Mybring login API-nøkkel"
"Enabled Bring Products","Aktiverte Bring produkter"
"Bring Product Rules","Bring produktregler"
"Sort Order","Rekkefølgenummer"
"Bring Shipping Guide","Bring Fraktguide"
"Custom Prices","Tilpassede priser"
"Show estimated delivery time","Vis estimert leveringsdato"
EDI,EDI
"Posting at post office","Posting at post office"
"Additional Services","Tilleggstjenester"
"Bring Booking","Bring Booking"
"Activate Bring Booking","Aktivér Bring Booking"
"Test mode","Test modus"
"Default Customer","Standard kunde"
"Standard package size","Standard pakkestørrelse"
"Shipping Origin","Avsenderadresse"
Name,Navn
"Street Address","Adresse"
"Street Address Line 2","Adresse linje 2"
"ZIP/Postal Code","Postnummer"
City,By
Email,E-post
"Phone number","Telefonnummer"
"Package Management","Pakkebehandling"
"Ship individually (On / off) Attribute","Individuell levering (på / av) attributt"
"Width Attribute (cm)","Bredde attributt (cm)"
"Length Attribute (cm)","Lengde attributt (cm)"
"Height Attribute (cm)","Høyde attributt (cm)"
"Package Configuration","Pakkekonfigurasjon"
"Standard Package Width (cm)","Standard pakkebredde (cm)"
"Standard Package Length (cm)","Standard pakkelengde (cm)"
"Standard Package Height (cm)","Standard pakkehøyde(cm)"
